subcategory,quarter,cii,competition_level
"Earbud Headphones, Over-Ear Headphones",2026 Q3,0.2990616004170119,Moderate Competition
Item Finders,2026 Q3,0.23959262235608558,Moderate Competition
LED & LCD TVs,2026 Q3,2.702538480239862,Very High Competition
Monitors,2026 Q3,1.0302282034091483,High Competition
On-Ear Headphones,2026 Q3,0.8747895872478151,High Competition
Over-Ear Headphones,2026 Q3,2.5449387321695593,Very High Competition
"Over-Ear Headphones, On-Ear Headphones",2026 Q3,0.9050831050565874,High Competition
Portable Bluetooth Speakers,2026 Q3,0.033649841375091964,Moderate Competition
Power Strips,2026 Q3,-0.07911097699003031,Moderate Competition
RCA,2026 Q3,-0.32519763073960156,Moderate Competition
Remote Controls,2026 Q3,0.02870126417466627,Moderate Competition
Smartwatches,2026 Q3,3.0917330294269023,Very High Competition
"Smartwatches, Smartwatches",2026 Q3,4.8643671921918346,Very High Competition
Speaker,2026 Q3,-0.320138012458771,Moderate Competition
Streaming Media Players,2026 Q3,5.226523113281424,Very High Competition
Surge Protectors,2026 Q3,-0.2101228251715274,Moderate Competition
TV Wall & Ceiling Mounts,2026 Q3,0.09767415767452149,Moderate Competition
Tablets,2026 Q3,1.7528188183793543,Very High Competition
Wireless Audio Receivers & Adapters,2026 Q3,0.5596423837970939,High Competition
Adapters,2026 Q4,-2.149591792256941,Low Competition
Cable Ties,2026 Q4,-0.2599547639787849,Moderate Competition
Car Video,2026 Q4,-1.04879293349299,Low Competition
Earbud Headphones,2026 Q4,0.40686585348921983,Moderate Competition
"Earbud Headphones, Over-Ear Headphones",2026 Q4,0.30160863369111485,Moderate Competition
Item Finders,2026 Q4,0.23959262235608558,Moderate Competition
LED & LCD TVs,2026 Q4,2.702538480239862,Very High Competition
Monitors,2026 Q4,1.0302282034091483,High Competition
On-Ear Headphones,2026 Q4,0.8914430743911376,High Competition
Over-Ear Headphones,2026 Q4,2.5449387321695593,Very High Competition
"Over-Ear Headphones, On-Ear Headphones",2026 Q4,0.9050831050565874,High Competition
Portable Bluetooth Speakers,2026 Q4,0.033649841375091964,Moderate Competition
Power Strips,2026 Q4,-0.07911097699003031,Moderate Competition
RCA,2026 Q4,-0.32519763073960156,Moderate Competition
Remote Controls,2026 Q4,0.02870126417466627,Moderate Competition
Smartwatches,2026 Q4,3.1184269901419395,Very High Competition
"Smartwatches, Smartwatches",2026 Q4,4.8643671921918346,Very High Competition
Speaker,2026 Q4,-0.320138012458771,Moderate Competition
Streaming Media Players,2026 Q4,5.226523113281424,Very High Competition
Surge Protectors,2026 Q4,-0.2101228251715274,Moderate Competition
TV Wall & Ceiling Mounts,2026 Q4,0.09703035023306787,Moderate Competition
Tablets,2026 Q4,1.7528188183793543,Very High Competition
Wireless Audio Receivers & Adapters,2026 Q4,0.5596423837970939,High Competition
